iter	Logloss
0	0.6882483522
1	0.6831216146
2	0.6775874785
3	0.6726847934
4	0.6675310816
5	0.662985055
6	0.6586575498
7	0.6537894755
8	0.6484981608
9	0.643680359
10	0.6395801792
11	0.6352776017
12	0.6310110815
13	0.6276798352
14	0.623670701
15	0.6194016297
16	0.616057301
17	0.6119421238
18	0.6078935348
19	0.6046006997
20	0.601021144
21	0.5972749572
22	0.5937616351
23	0.5897553019
24	0.5863341216
25	0.5837230952
26	0.5799247529
27	0.5771363982
28	0.5741298411
29	0.571282413
30	0.5688942746
31	0.5665869213
32	0.5629018378
33	0.5600587111
34	0.5580742772
35	0.5560741051
36	0.5532271869
37	0.5505541045
38	0.5482859906
39	0.5463240695
40	0.5443772842
41	0.5420444764
42	0.5403904217
43	0.5379192982
44	0.5357611742
45	0.5338481055
46	0.5315873331
47	0.5288553392
48	0.526870429
49	0.5253977338
50	0.5240389044
51	0.5217536913
52	0.5199217969
53	0.5176147927
54	0.5158274821
55	0.5139526107
56	0.5120446799
57	0.510903171
58	0.5090363359
59	0.5071408033
60	0.5052180451
61	0.5038102705
62	0.5023900583
63	0.5004827992
64	0.4990372562
65	0.497196536
66	0.4964437697
67	0.4955428239
68	0.4941380622
69	0.4924023978
70	0.4910210294
71	0.4894868316
72	0.4878936877
73	0.4869919297
74	0.4857115492
75	0.4846331488
76	0.4834618003
77	0.4822560294
78	0.4810069582
79	0.4797655302
80	0.478531305
81	0.4770999127
82	0.4758603319
83	0.474403662
84	0.4731027208
85	0.4719838709
86	0.4703619802
87	0.4699062445
88	0.4689104339
89	0.4679054955
90	0.4669020585
91	0.4659962865
92	0.4653638326
93	0.4642497668
94	0.463492171
95	0.4625622639
96	0.4613932931
97	0.4604200863
98	0.4594303681
99	0.4587672424
100	0.4575802169
101	0.4564115406
102	0.4555420658
103	0.45481757
104	0.4533950574
105	0.4526882956
106	0.4518282343
107	0.4512658267
108	0.4505230072
109	0.4494399828
110	0.448701991
111	0.4479196866
112	0.4476707075
113	0.4465874101
114	0.4457344006
115	0.4451518996
116	0.4445322674
117	0.4435249383
118	0.4427120134
119	0.4416537154
120	0.4406771507
121	0.4399168251
122	0.4391197492
123	0.4381438458
124	0.4373160914
125	0.4365990234
126	0.4354799806
127	0.4349285069
128	0.4340413268
129	0.4335314696
130	0.4327355455
131	0.4322406905
132	0.4309374044
133	0.4302954081
134	0.4297992441
135	0.4288055648
136	0.4279818233
137	0.4270164845
138	0.4265964448
139	0.4259459201
140	0.4253664627
141	0.4248246646
142	0.4246408382
143	0.4237841055
144	0.4231417148
145	0.4224586458
146	0.4215994426
147	0.4210583355
